0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,Policy Name,Urban Damages Ratio,Urban Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded
0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,2,2,10,3,4,0,2,7,4,1,1,5,4,6,2,2,0.0,0.0,855442553.5036638,0.0,0.0,710665051.0777925,8786363553.993086,26810254.738408595,0.0031801302216632,s4842_p13,0.0,0.0,False,False
1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,3,2,6,4,3,1,6,5,3,2,2,4,6,1,5,1,0.0,0.0,478895492.6361647,188465725.1883942,0.0194939730269942,392392393.9165596,4928129276.867237,210908362.8110736,0.0217177213693655,s4842_p39,0.893590574960828,0.8976067376245067,False,False
1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,3,4,1,5,1,4,0,7,8,6,4,0,6,0,3,1,0.0,0.0,4843861490.096794,0.0,0.0,151711207.5920318,7065735652.602622,115226751.03812411,0.0115609724286926,s4842_p16,0.0,0.0,False,False
1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,2,0,3,7,1,2,4,5,2,4,10,4,4,3,2,0,0.0,0.0,586117902.0343597,5790369.71546554,0.0005977576802228,187300709.3375383,5067537522.408947,92769007.55476464,0.0111912754254272,s4842_p57,0.0624170708309808,0.0534128289671668,False,False
1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,4,7,4,4,3,2,4,2,1,0,7,1,3,0,0,6,222711295.9606329,0.0385926513370026,84513741.32644606,325752271.1132225,0.0281021426439757,328184814.6092675,5308641768.690163,573710642.6560227,0.0693143280546237,s4842_p113,0.9559933637185384,0.9622078991867156,False,False
0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,3,6,1,7,0,1,7,2,5,2,5,2,0,0,4,1,313687120.53489166,0.0586380042875217,402118089.3228299,35609455.69702821,0.002953792381329,212577420.5308448,6139055660.622124,866749977.5731413,0.10769683551675,s4842_p23,0.4029957718717613,0.5718997812082546,False,False
1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,6,5,5,4,9,1,9,3,7,4,0,5,4,0,0,0.0,0.0,3628166830.9541454,9537721.535354,0.0023265425264897,140758998.50395507,13706892043.16124,14869142.79752925,0.004064925534259,s4842_p18,0.6414439396559461,0.5723456695286813,False,False
1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,7,1,0,1,1,4,1,5,0,6,2,1,1,0,0,262900263.4564608,0.4088768441630186,210198875.0877109,56266954.90144428,0.0372595424568748,36676675.840294495,2201216288.99362,469047712.6770495,0.5612345269778137,s4842_p193,0.6804578931560834,0.7949197085615685,False,False
0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,2,5,4,4,4,1,3,5,1,2,5,4,2,7,3,28165967.95441326,0.0462053921341905,431615943.8974439,47079834.9648049,0.0405851828848629,1165023168.3750107,4474462737.889958,80605584.32732943,0.0916708567846195,s4842_p117,0.9335060783587172,0.9467629960410175,False,False
1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,2,0,2,4,0,5,1,0,1,0,4,5,6,0,0,2,1565071421.7897806,0.3193912758672939,28798397.130608942,0.0,0.0,58176627.77592012,2037399441.92724,1739435387.7848034,0.3407932974214088,s4842_p94,0.8997582967326668,0.9371994058684489,False,False
1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,2,0,5,5,1,3,5,3,2,0,5,7,6,10,5,7,4898622.214939761,0.0009619419608609,140542455.59738207,0.0,0.0,8983805271.658974,13375808356.774515,100081011.83989888,0.0128176450947738,s4842_p41,0.0489465696327707,0.0750482599376321,False,False
1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,2,1,1,7,0,5,2,0,1,0,6,5,5,0,0,2,1234250555.1054354,0.2517964039950175,28798397.130608942,0.0,0.0,58176627.77592012,3318477072.0528297,1404366427.6570468,0.2725436383195221,s4842_p189,0.8788664630530783,0.9238755508936842,False,False
0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,3,4,3,2,2,1,6,7,4,3,3,2,4,0,5,3,0.0,0.0,1100146828.2020063,139888112.4839789,0.0140472632023679,426536614.86947095,3848619474.22344,217365505.2051096,0.0214471504538215,s4842_p22,0.6435616927901151,0.6549710756500488,False,False
